Food Code,Food Name,Rasa,Guna (Physical),Guna (Mental),Virya,Vipaka,Prabhava,Vata Effect,Pitta Effect,Kapha Effect
ASC229,Pea keema curry (Matar keema ki sabzi),katu/madhura,laghu/ushna,rajovardhan,ushna,katu,spicy protein,increase,increase,decrease
ASC230,Keema kofta curry,katu,laghu/ushna,rajovardhan,ushna,katu,protein curry,increase,increase,decrease
ASC231,Kashmiri mutton koftas (Gushtaba),madhura/katu,guru/ushna,rajovardhan,ushna,katu,protein kofta,increase,increase,decrease
ASC232,Mutton yakhni,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,hearty mutton,decrease,neutral,increase
ASC233,Chicken yakhni,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,hearty protein,decrease,neutral,increase
ASC234,Mutton do piaza,madhura/katu,laghu/ushna,rajovardhan,ushna,katu,spicy protein,increase,increase,decrease
ASC236,Mutton chops,katu,laghu/ushna,rajovardhan,ushna,katu,hearty chops,increase,increase,decrease
ASC237,Shammi kebab,katu/madhura,laghu/ushna,rajovardhan,ushna,katu,protein kebab,increase,increase,decrease
ASC238,Scotch egg,madhura/katu,guru/snigdha,rajovardhan,ushna,katu,protein egg,increase,increase,decrease
ASC239,Shepherd's pie (with minced meat),madhura/katu,guru/snigdha,rajovardhan,ushna,katu,protein pie,increase,increase,decrease
ASC240,Chicken curry,katu,laghu/ushna,rajovardhan,ushna,katu,spicy chicken,increase,increase,decrease
ASC241,Tandoori chicken,katu,laghu/ushna,rajovardhan,ushna,katu,spicy chicken,increase,increase,decrease
ASC242,Butter chicken,madhura/katu,guru/snigdha,rajovardhan,ushna,katu,rich spicy chicken,increase,increase,decrease
ASC243,Chicken kebab,katu,laghu/ushna,rajovardhan,ushna,katu,protein snack,increase,increase,decrease
ASC244,Chilli chicken,katu,laghu/ushna,rajovardhan,ushna,katu,spicy snack,increase,increase,decrease
ASC245,Fried chicken with tomato sauce,katu/amla,laghu/ushna,rajovardhan,ushna,amla,spicy protein,increase,increase,decrease
ASC246,Fish curry (Machli curry),katu,laghu/ushna,rajovardhan,ushna,katu,spicy fish,increase,increase,decrease
ASC247,Fried fish (Indian style),katu,laghu/ushna,rajovardhan,ushna,katu,protein fish,increase,increase,decrease
ASC248,Fried fish and Chips (English Style),katu,laghu/ushna,rajovardhan,ushna,katu,spicy protein,increase,increase,decrease
ASC249,Tomato fish,amla/katu,laghu/snigdha,sattvavardhan,sheeta,amla,digestive protein,decrease,neutral,increase
ASC250,Baked fish with cheese sauce,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich protein,decrease,neutral,increase
ASC251,Fish tikka,katu,laghu/ushna,rajovardhan,ushna,katu,spicy protein,increase,increase,decrease
ASC252,Tandoori fish,katu,laghu/ushna,rajovardhan,ushna,katu,spicy protein,increase,increase,decrease
ASC253,"Paneer, apple and pineapple salad",madhura,guru/snigdha,sattvavardhan,sheeta,madhura,refreshing salad,decrease,neutral,increase
ASC254,Russian salad,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,rich salad,decrease,neutral,increase
ASC255,Pasta salad,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,light salad,decrease,neutral,increase
ASC256,Deviled egg,madhura/katu,guru/snigdha,rajovardhan,ushna,katu,spicy protein,increase,increase,decrease
ASC257,Hawain salad,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich salad,decrease,neutral,increase
ASC258,Mixed pulse and vegetable salad,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nutritious salad,decrease,neutral,increase
ASC259,Sprouted moong salad,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nutritious salad,decrease,neutral,increase
ASC260,Tossed salad,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,light salad,decrease,neutral,increase
ASC261,Mixed vegetable salad with curd sauce,madhura/katu,guru/snigdha,sattvavardhan,sheeta,katu,refreshing salad,decrease,neutral,increase
ASC262,Potato salad (Aloo ka salaad),madhura/katu,guru/snigdha,rajovardhan,sheeta,madhura/katu,light salad,decrease,neutral,increase
ASC263,Waldroff salad,madhura/katu,guru/snigdha,sattvavardhan,sheeta,katu,rich salad,decrease,neutral,increase
ASC264,Coleslaw,madhura/katu,guru/snigdha,sattvavardhan,sheeta,katu,rich salad,decrease,neutral,increase
ASC265,Fruit salad (Phalon ka salaad),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,sweet salad,decrease,neutral,increase
ASC269,Tomato onion raita (Tamatar aur pyaaz ka raita),amla/katu,laghu/snigdha,rajovardhan,sheeta,amla/katu,light cleansing,decrease,neutral,increase
ASC270,Peanut raita (Mungfali ka raita),madhura/katu,guru/snigdha,sattvavardhan,sheeta,katu,refreshing raita,decrease,neutral,increase
ASC271,Sprouted moong raita,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,light raita,decrease,neutral,increase
ASC272,Bottle gourd raita (Ghiya/Lauki ka raita),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura,cooling raita,decrease,neutral,increase
ASC273,Cucumber raita (Kheere ka raita),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,refreshing raita,decrease,neutral,increase
ASC274,Carrot and spinach raita (Gajar aur palak ka raita),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,nutritious raita,decrease,neutral,increase
ASC275,Mint raita (Pudinay ka raita),tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,refreshing raita,decrease,neutral,increase
ASC276,Potato raita (Aloo ka raita),madhura/katu,guru/snigdha,rajovardhan,sheeta,madhura/katu,light raita,decrease,neutral,increase
ASC277,Boondi raita,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,light raita,decrease,neutral,increase
ASC278,Sweet raita (Meetha raita),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet raita,decrease,neutral,increase
ASC279,Dahi vadas/Dahi bhalla,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein snack,decrease,neutral,increase
ASC280,Gunjia,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet snack,decrease,neutral,increase
ASC281,Saunth/Sonth chutney with tamarind/imli,tikta/katu,laghu/ushna,sattvavardhan,ushna,katu,spicy chutney,increase,increase,decrease
ASC282,Rice kheer (Chawal ki kheer),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC283,Makhana kheer,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,light dessert,decrease,neutral,increase
ASC285,Vermicelli kheer (Semiya/Seviyan ki kheer),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,sweet dessert,decrease,neutral,increase
ASC286,Semolina kheer (Suji/Rava kheer),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,light dessert,decrease,neutral,increase
ASC287,Paneer kheer,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein dessert,decrease,neutral,increase
ASC288,Cabbage kheer (Pattagobhi ki kheer),tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,vegetable dessert,decrease,neutral,increase
ASC289,Carrot kheer (Gajar ki kheer),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet veg dessert,decrease,neutral,increase
ASC290,Cauliflower kheer (Phoolgobhi ki kheer),tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,vegetable dessert,decrease,neutral,increase
ASC291,Moong dal kheer,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,protein dessert,decrease,neutral,increase
ASC292,Phirni,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC293,Semolina halwa (Suji ka halwa),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,sweet dessert,decrease,neutral,increase
ASC294,Shahi suji halwa,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich dessert,decrease,neutral,increase
ASC295,Carrot halwa (Gajar ka halwa),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC296,Egg halwa (Ande ka halwa),madhura/katu,guru/snigdha,rajovardhan,sheeta,katu,protein dessert,decrease,neutral,increase
ASC297,Potato halwa (Aloo ka halwa),madhura/katu,guru/snigdha,sattvavardhan,sheeta,katu,sweet dessert,decrease,neutral,increase
ASC298,Pumpkin halwa (Kaddu ka halwa),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,sweet dessert,decrease,neutral,increase
ASC299,Moong dal halwa,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC300,Caramel custard (steamed),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,sweet dessert,decrease,neutral,increase
ASC301,Baked custard,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC302,Soft Custard (stirred),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC304,Chocolate ice cream,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC305,Mango ice cream,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC307,Fruit Ice cream (Phalon ka Ice cream),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC308,Caramel ice cream,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC309,Lemon souffle,amla/katu,laghu/ushna,rajovardhan,sheeta,amla/katu,light dessert,decrease,increase,decrease
ASC310,Orange souffle,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,light dessert,decrease,neutral,increase
ASC311,Vanilla souffle,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,light dessert,decrease,neutral,increase
ASC312,Chocolate souffle,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC313,Pineapple souffle,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC314,Apple mousse,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC315,Rich chocolate mousse,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich dessert,decrease,neutral,increase
ASC316,Mango mousse,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC317,Orange and pineapple cream,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich cream,decrease,neutral,increase
ASC318,Charlotte rousse,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich dessert,decrease,neutral,increase
ASC319,Triffle pudding,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC320,Snow flakes pudding,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,light dessert,decrease,neutral,increase
ASC321,Kulfi,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich dessert,decrease,neutral,increase
ASC322,Steamed orange pudding,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,light dessert,decrease,neutral,increase
ASC323,Meringue and rice pudding,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,light dessert,decrease,neutral,increase
ASC324,Cheese pudding,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich dessert,decrease,neutral,increase
ASC325,Chocolate pudding,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich dessert,decrease,neutral,increase
ASC326,Bread and butter pudding,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich dessert,decrease,neutral,increase
ASC327,Queen of pudding,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich dessert,decrease,neutral,increase
ASC328,Pineapple upside down pudding,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC329,Date and nut pie,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich dessert,decrease,neutral,increase
ASC330,Stewed apple with custard,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC331,Apple snowballs,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet snack,decrease,neutral,increase
ASC332,Hot orange souffle,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,warm dessert,decrease,neutral,increase
ASC333,Hot chocolate souffle,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,warm dessert,decrease,neutral,increase
ASC334,Hot vanilla souffle,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,warm dessert,decrease,neutral,increase
ASC335,Plain burfi (Burfi),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC336,Coconut burfi (Nariyal ki burfi),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC337,Bottle gourd burfi (Ghiya/Lauki burfi),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC338,Chocolate burfi,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC339,Cashewnut burfi (Kaju burfi/Kaju katli),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC340,Gram flour burfi (Besan burfi),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC341,Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC342,Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC343,Gram flour ladoo (Besan ladoo),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC344,Sesame ladoo (Til ke ladoo),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,sweet dessert,decrease,neutral,increase
ASC345,Chenna murki,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet snack,decrease,neutral,increase
ASC346,Milk cake,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich dessert,decrease,neutral,increase
ASC347,Ghujia/Lavang latika,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC348,Gulab Jamun with khoya,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich dessert,decrease,neutral,increase
ASC349,Mal pua,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet dessert,decrease,neutral,increase
ASC350,Shahi tukre,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich dessert,decrease,neutral,increase
ASC351,Potato pakora/pakoda,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,fried snack,decrease,neutral,increase
ASC352,Onion pakora/pakoda,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,fried snack,decrease,neutral,increase
ASC353,Cauliflower pakora/pakoda,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,fried snack,decrease,neutral,increase
ASC354,Mixed vegetable pakora/pakoda,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,fried snack,decrease,neutral,increase
ASC355,Spinach pakora/pakoda,tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,fried snack,decrease,neutral,increase
ASC356,Methi pakora/pakoda,tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,fried snack,decrease,neutral,increase
ASC357,Egg pakora/pakoda,madhura/katu,guru/snigdha,rajovardhan,ushna,katu,fried protein,increase,increase,decrease
ASC358,Bread pakora/pakoda,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,fried snack,decrease,neutral,increase
ASC359,Paneer pakora/pakoda,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,fried snack,decrease,neutral,increase
ASC360,Potato bonda,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,fried snack,decrease,neutral,increase
ASC361,Potato samosa,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,fried snack,decrease,neutral,increase
ASC362,Minced meat samosa,katu,laghu/ushna,rajovardhan,ushna,katu,fried protein,increase,increase,decrease
ASC363,Paneer and pea samosa,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,fried snack,decrease,neutral,increase
ASC364,Mathri,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,fried snack,decrease,neutral,increase
ASC365,Khasta kachori,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,fried snack,decrease,neutral,increase
ASC366,Vegetable cutlet,tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,healthy snack,decrease,neutral,increase
ASC367,Flattened rice cutlet,madhura/katu,laghu/snigdha,sattvavardhan,sheeta,madhura,nutritious snack,decrease,neutral,increase
ASC368,Peanut cutlet,madhura/katu,guru/snigdha,sattvavardhan,sheeta,katu,nutty fried snack,decrease,neutral,increase
ASC369,Fish cutlet,katu,laghu/ushna,rajovardhan,ushna,katu,protein fried snack,increase,increase,decrease
ASC370,Paneer potato cutlet,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura,nutritious fried snack,decrease,neutral,increase
ASC371,Spinach chickpeas cutlet,tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,healthy snack,decrease,neutral,increase
ASC372,Cheese toast,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/kapha,creamy snack,decrease,neutral,increase
ASC375,Vegetable burger,tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,healthy snack,decrease,neutral,increase
ASC376,Cheese pizza,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/kapha,rich cheesy snack,decrease,neutral,increase
ASC377,Vegetable seekh kebab,tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,healthy spicy snack,decrease,neutral,increase
ASC378,Masala vada,tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,spicy fried snack,decrease,neutral,increase
ASC379,Peanut sago vada,madhura/katu,guru/snigdha,sattvavardhan,sheeta,katu,nutty fried snack,decrease,neutral,increase
ASC380,Vegeterian scotch egg,madhura/katu,guru/snigdha,rajovardhan,sheeta,katu,protein fried snack,decrease,neutral,increase
ASC381,Paneer shaslik/tikka,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/spicy,protein snack,decrease,increase,increase
ASC382,Peanut brittle,madhura/katu,guru/snigdha,sattvavardhan,sheeta,katu,nutty sweet snack,decrease,neutral,increase
ASC383,Spring roll,tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,crispy snack,decrease,neutral,increase
ASC384,Dry mango chutney,tikta/katu,laghu/ushna,rajovardhan,ushna,katu,spicy chutney,increase,increase,decrease
ASC385,Peanut chutney,madhura/katu,guru/snigdha,sattvavardhan,sheeta,katu,nutty chutney,decrease,neutral,increase
ASC386,Coconut chutney,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,creamy chutney,decrease,neutral,increase
ASC387,Mint and coriander chutney,tikta/katu,laghu/snigdha,ushna,sheeta,katu,refreshing spicy,decrease,increase,decrease
ASC395,Custard tart,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura,kidlit tart,decrease,neutral,increase
ASC396,Lemon tart,amla/katu,laghu/ushna,rajovardhan,sheeta,amla/katu,refreshing tart,decrease,increase,decrease
ASC397,Jam tart,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura,kidlit tart,decrease,neutral,increase
ASC398,Orange cream tart,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura,creamy tart,decrease,neutral,increase
ASC399,Pineapple tart,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura,sweet tart,decrease,neutral,increase
ASC400,Cheese and mushroom tart,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura,rich tart,decrease,neutral,increase
ASC401,Cottage cheese pie,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura,rich pie,decrease,neutral,increase
ASC402,Minced meat pie,katu,guru/snigdha,rajovardhan,ushna,katu,protein pie,increase,increase,decrease
ASC403,Apple cinnamon pie,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura,sweet pie,decrease,neutral,increase
ASC404,Lemon meringue pie,amla/katu,laghu/ushna,rajovardhan,sheeta,amla/katu,refreshing pie,decrease,increase,decrease
ASC405,Chocolate meringue pie,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura,rich pie,decrease,neutral,increase
ASC407,Cream puffs,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich dessert,decrease,neutral,increase
ASC408,Chocolate eclairs,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich dessert,decrease,neutral,increase
ASC409,Cheese balls,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,fried cheese balls,decrease,neutral,increase
ASC411,Minced meat patties,katu,laghu/ushna,rajovardhan,ushna,katu,protein fried snack,increase,increase,decrease
ASC412,Cheese patties,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,fried cheesy snack,decrease,neutral,increase
ASC413,Hot cheese souffle,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,warm cheesy dessert,decrease,neutral,increase
ASC414,Hot potato souffle,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,warm light dessert,decrease,neutral,increase
ASC415,Hot fish souffle,katu,guru/snigdha,rajovardhan,sheeta,katu,warm protein dessert,increase,neutral,decrease
ASC416,Hot spinach souffle,tikta/madhura,guru/snigdha,sattvavardhan,sheeta,madhura,warm green dessert,decrease,neutral,increase
ASC417,Plain cream cake,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich cake,decrease,neutral,increase
ASC418,Apple cake (Seb ka cake),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet cake,decrease,neutral,increase
ASC419,Marble cake,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich cake,decrease,neutral,increase
ASC420,Chocolate cake,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich cake,decrease,neutral,increase
ASC421,Orange cake,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet cake,decrease,neutral,increase
ASC422,Fruit Loaf,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet bread,decrease,neutral,increase
ASC423,Banana cake (Kele ka cake),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet cake,decrease,neutral,increase
ASC424,Chocolate chiffon cake,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet cake,decrease,neutral,increase
ASC425,Christmas cake,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich festive cake,decrease,neutral,increase
ASC426,Strawberry and vanilla cake with butter icing,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet cake,decrease,neutral,increase
ASC427,Eggless cake,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet cake,decrease,neutral,increase
ASC429,Swiss roll,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet cake,decrease,neutral,increase
ASC430,Pineapple pastry,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet pastry,decrease,neutral,increase
ASC431,Black forest pastry,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich pastry,decrease,neutral,increase
ASC432,Coconut finger,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet pastry,decrease,neutral,increase
ASC433,Pineapple cake,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet cake,decrease,neutral,increase
ASC439,Chocolate walnut cookies,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet cookies,decrease,neutral,increase
ASC440,Chocolate chip cookies,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet cookies,decrease,neutral,increase
ASC441,Sweet plain biscuit,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet biscuit,decrease,neutral,increase
ASC442,Chocolate biscuit,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet biscuit,decrease,neutral,increase
ASC443,Coconut biscuit (Nariyal ke biscuit),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet biscuit,decrease,neutral,increase
ASC444,Sweet and salty biscuit (Meethay aur namkeen biscuit),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,savory biscuit,decrease,neutral,increase
ASC445,Peanut biscuit,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,nutty biscuit,decrease,neutral,increase
ASC446,Pin wheel biscuit,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet biscuit,decrease,neutral,increase
ASC447,Saffron biscuit (Kesar biscuit),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,flavored biscuit,decrease,neutral,increase
ASC448,Masala biscuit,katu,laghu/ushna,rajovardhan,ushna,katu,spicy biscuit,increase,increase,decrease
ASC449,Ice box cookies,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,sweet biscuit,decrease,neutral,increase
ASC450,Ginger bread man,katu/tikta,laghu/ushna,rajovardhan,ushna,katu/tikta,spicy biscuit,increase,increase,decrease
ASC451,Danish cookies,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich biscuit,decrease,neutral,increase
ASC452,Short bread cookies,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,rich biscuit,decrease,neutral,increase
ASC453,Coffee biscuit,tikta/katu,laghu/ushna,rajovardhan,ushna,tikta/katu,caffeinated biscuit,increase,increase,decrease
ASC454,Melting moments,madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,soft biscuit,decrease,neutral,increase
ASC455,Ginger biscuit (Adarak ke biscuit),katu/tikta,laghu/ushna,rajovardhan,ushna,katu/tikta,spicy biscuit,increase,increase,decrease
ASC456,Soyabean muthias,tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,nutritious snack,decrease,neutral,increase
ASC457,Soyabean tikki,tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,protein snack,decrease,neutral,increase
ASC458,Soyabean namak paras,tikta/katu,laghu/ushna,rajovardhan,ushna,katu,savory snack,increase,increase,decrease
ASC459,Peanut burfi (Moongfali ki burfi),madhura/katu,guru/snigdha,sattvavardhan,sheeta,madhura/katu,nutty dessert,decrease,neutral,increase
ASC460,Spinach peanut namak paras (Palak moongfali namak paras),tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura/tikta,nutritious savory,decrease,neutral,increase
ASC461,Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),tikta/madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,protein snack,decrease,neutral,increase
